INFORME RESULTADO BÚSQUEDA/"6/8/26 14:06"///////////////
CAMPOS BÚSQUEDA/Provincia: Granada///////////////
Nombre/Empresa/Organismo/Sit. General/Tipo/Frac/Nº Registro/Sustancia principal/Sustancia secundaria/Superf./Uds./Sec./Solicitud/"Otorgamiento/ Autorizacion"/Caducidad/Fin Vigencia/Coordenadas
PEPI FRACCIÓN 1 /OMYA CLARIANA, S.A. (ANTES CLARIANACAL, S.A.)/GRANADA/Otorgado/Concesión Directa de Explotación/01/30214/Calizas//33.0/C/C/"08/11/1989"/"28/01/1992"///(3º 22' 4.57'' W, 37º 20' 55.50'' N)(3º 22' 4.57'' W, 37º 21' 55.50'' N)(3º 20' 4.57'' W, 37º 21' 55.50'' N)(3º 20' 4.57'' W, 37º 22' 15.50'' N)(3º 19' 4.57'' W, 37º 22' 15.50'' N)(3º 19' 4.57'' W, 37º 22' 35.50'' N)(3º 18' 4.56'' W, 37º 22' 35.50'' N)(3º 18' 4.56'' W, 37º 21' 35.50'' N)(3º 19' 4.57'' W, 37º 21' 35.50'' N)(3º 19' 4.57'' W, 37º 21' 15.50'' N)(3º 21' 4.57'' W, 37º 21' 15.50'' N)(3º 21' 4.57'' W, 
PAMIAN/YESOS PAMIAN, S.L./GRANADA/Otorgado/Concesión Directa de Explotación/00/30251/Yeso//9.0/C/C/"09/04/1991"/"29/09/1993"///(4º 17' 4.68'' W, 37º 6' 35.46'' N)(4º 16' 44.68'' W, 37º 6' 35.46'' N)(4º 16' 44.68'' W, 37º 5' 55.46'' N)(4º 17' 4.68'' W, 37º 5' 55.46'' N)(4º 17' 4.68'' W, 37º 6' 35.46'' N)
LA MONDARIA 1/HERMANOS LOS ANICETOS, S.L. (HNOS. ORTIZ PÉREZ, C./GRANADA/Autorizado/Recurso de la sección A)/00/   21///4.95/H/A/"26/04/1989"/"04/07/1989"///(4º 4' 34.66'' W, 37º 6' 0.46'' N)(4º 4' 34.66'' W, 37º 6' 15.46'' N)(4º 4' 44.66'' W, 37º 6' 15.46'' N)(4º 4' 44.66'' W, 37º 6' 0.46'' N)(4º 4' 34.66'' W, 37º 6' 0.46'' N)
RUBIO/KNAUF GMBH,  SUCURSAL EN ESPAÑA/GRANADA/Autorizado/Recurso de la sección A)/00/  211/Yeso//2.0/H/A/"18/12/1998"/"20/03/2000"///(3º 45' 9.25'' W, 37º 3' 22.72'' N)(3º 44' 55.08'' W, 37º 3' 22.81'' N)(3º 44' 55.05'' W, 37º 3' 19.24'' N)(3º 44' 57.88'' W, 37º 3' 19.22'' N)(3º 45' 0.65'' W, 37º 3' 12.39'' N)(3º 44' 59.02'' W, 37º 3' 11.42'' N)(3º 45' 9.14'' W, 37º 3' 11.36'' N)(3º 45' 9.25'' W, 37º 3' 22.72'' N)
LOS PENSADORES/UTE CONSTRUCCIONES SÁNCHEZ DOMÍNGUEZ - SANDO S.A. /GRANADA/Autorizado/Recurso de la sección A)/00/  321/Arcillas, Conglomerado//8.14/H/A/"11/02/2008"/"23/10/2008"///(3º 49' 11.55'' W, 37º 15' 25.26'' N)(3º 49' 11.18'' W, 37º 15' 24.35'' N)(3º 49' 11.52'' W, 37º 15' 23.47'' N)(3º 49' 11.96'' W, 37º 15' 22.76'' N)(3º 49' 11.64'' W, 37º 15' 21.82'' N)(3º 49' 11.39'' W, 37º 15' 20.87'' N)(3º 49' 11.02'' W, 37º 15' 19.94'' N)(3º 49' 10.65'' W, 37º 15' 19.01'' N)(3º 49' 10.52'' W, 37º 15' 17.97'' N)(3º 49' 10.08'' W, 37º 15' 17.30'' N)(3º 49' 9.16'' W, 37º 15' 16.70'' N)(3º 
LOS ÓRGANOS/LUIS SÁNCHEZ DIEZ, S.A., PIEDRAS Y MÁRMOLES CERRO DE LOS ÓRGANOS, S.A.L./GRANADA/Autorizado/Recurso de la sección A)/00/  140///1.16/H/A/"28/04/1961"/"16/06/1961"///(3º 41' 33.35'' W, 37º 14' 16.73'' N)(3º 41' 30.98'' W, 37º 14' 16.87'' N)(3º 41' 27.48'' W, 37º 14' 14.63'' N)(3º 41' 27.24'' W, 37º 14' 13.98'' N)(3º 41' 27.76'' W, 37º 14' 12.66'' N)(3º 41' 28.02'' W, 37º 14' 12.02'' N)(3º 41' 29.20'' W, 37º 14' 10.81'' N)(3º 41' 29.88'' W, 37º 14' 10.59'' N)(3º 41' 33.83'' W, 37º 14' 12.58'' N)(3º 41' 33.71'' W, 37º 14' 16.39'' N)(3º 41' 33.35'' W, 37º 14' 16.73'' N)
SAN ROQUE/HORMIALCA S.L., SOCIEDAD ANDALUZA DE MATERIALES S.L./GRANADA/Autorizado/Recurso de la sección A)/00/   27/Arena//10.8/H/A/"10/07/1991"/"25/06/1996"///(3º 30' 1.36'' W, 37º 8' 25.77'' N)(3º 30' 1.62'' W, 37º 8' 26.23'' N)(3º 30' 1.65'' W, 37º 8' 26.92'' N)(3º 30' 0.97'' W, 37º 8' 28.03'' N)(3º 29' 59.40'' W, 37º 8' 29.22'' N)(3º 29' 58.80'' W, 37º 8' 30.28'' N)(3º 29' 56.60'' W, 37º 8' 31.97'' N)(3º 29' 53.86'' W, 37º 8' 32.59'' N)(3º 29' 52.39'' W, 37º 8' 32.68'' N)(3º 29' 51.04'' W, 37º 8' 33.41'' N)(3º 29' 48.20'' W, 37º 8' 33.69'' N)(3º 29' 45.66'' W, 37º 8' 34.61'' 
ÁRIDOS CASTILLA/MIGUEL CASTILLA CABRERA/GRANADA/Autorizado/Recurso de la sección A)/00/   39/Dolomía//1.0/H/A/"24/05/1990"/"04/09/1992"///(3º 33' 4.01'' W, 36º 49' 6.51'' N)(3º 33' 1.01'' W, 36º 49' 4.38'' N)(3º 33' 3.65'' W, 36º 49' 1.90'' N)(3º 33' 6.70'' W, 36º 49' 4.06'' N)(3º 33' 4.01'' W, 36º 49' 6.51'' N)
LOS ÓRGANOS I/LUIS SÁNCHEZ DIEZ, S.A., MÁRMOLES SAN MIGUEL, S.A.L./GRANADA/Autorizado/Recurso de la sección A)/00/   81/Mármol//1.26/H/A/"25/02/1993"/"30/11/1993"///(3º 41' 32.11'' W, 37º 14' 17.97'' N)(3º 41' 25.33'' W, 37º 14' 17.31'' N)(3º 41' 27.49'' W, 37º 14' 14.64'' N)(3º 41' 30.98'' W, 37º 14' 16.87'' N)(3º 41' 32.22'' W, 37º 14' 16.80'' N)(3º 41' 32.11'' W, 37º 14' 17.97'' N)(3º 41' 33.35'' W, 37º 14' 12.02'' N)(3º 41' 33.12'' W, 37º 14' 12.14'' N)(3º 41' 29.23'' W, 37º 14' 11.28'' N)(3º 41' 31.37'' W, 37º 14' 10.20'' N)(3º 41' 33.65'' W, 37º 14' 10.87'' N)
NUESTRA SEÑORA DE GRACIA/GRACICERÁMICA, S.L./GRANADA/Autorizado/Recurso de la sección A)/00/   45/Arcillas//5.0/H/A/"22/10/1990"/"24/09/1993"///(3º 8' 51.90'' W, 37º 17' 35.75'' N)(3º 8' 47.86'' W, 37º 17' 35.72'' N)(3º 8' 46.57'' W, 37º 17' 34.17'' N)(3º 8' 44.28'' W, 37º 17' 29.68'' N)(3º 8' 46.05'' W, 37º 17' 29.23'' N)(3º 8' 50.39'' W, 37º 17' 29.26'' N)(3º 8' 51.90'' W, 37º 17' 35.75'' N)
UMBRÍA TAJO DEL COLORADO/MÁRMOLES ANTONIO SAEZ, S.L., JUAN JOSÉ FERNÁNDEZ GONZÁLEZ, VALERIANO RAMIREZ RAMIREZ, VALERIANO RAMIREZ RUIZ, PAULINO /GRANADA/Autorizado/Recurso de la sección A)/00/  129///5.0/H/A//"24/08/1976"///(3º 40' 58.92'' W, 37º 14' 31.80'' N)(3º 40' 56.93'' W, 37º 14' 31.43'' N)(3º 40' 53.93'' W, 37º 14' 31.86'' N)(3º 40' 51.86'' W, 37º 14' 31.94'' N)(3º 40' 50.24'' W, 37º 14' 32.34'' N)(3º 40' 49.88'' W, 37º 14' 33.15'' N)(3º 40' 47.45'' W, 37º 14' 33.33'' N)(3º 40' 47.33'' W, 37º 14' 33.14'' N)(3º 40' 51.07'' W, 37º 14' 29.12'' N)(3º 40' 53.93'' W, 37º 14' 27.19'' N)(3º 40' 55.66'' W, 37º 14' 25.82'' N)
LOURDES/FRANCISCO JAVIER CASTILLO SILES/GRANADA/Autorizado/Recurso de la sección A)/00/   62/Arcillas//1.5/H/A/"06/04/1992"/"16/06/1993"///(3º 8' 52.06'' W, 37º 17' 33.80'' N)(3º 8' 52.05'' W, 37º 17' 29.83'' N)(3º 8' 57.03'' W, 37º 17' 29.82'' N)(3º 8' 57.04'' W, 37º 17' 33.80'' N)(3º 8' 52.06'' W, 37º 17' 33.80'' N)
