INFORME RESULTADO BÚSQUEDA/"6/8/26 14:06"///////////////
CAMPOS BÚSQUEDA/Provincia: Huelva///////////////
Nombre/Empresa/Organismo/Sit. General/Tipo/Frac/Nº Registro/Sustancia principal/Sustancia secundaria/Superf./Uds./Sec./Solicitud/"Otorgamiento/ Autorizacion"/Caducidad/Fin Vigencia/Coordenadas
EL CAMPILLO/CORVALÁN, S.L., LA ATALAYA DEL CAMPILLO, S.L., TRANSPORTES Y MOVIMIENTOS DE TIERRAS HNOS. TÉLLEZ/HUELVA/Autorizado/Recurso de la sección A)/00/   28/Grauvaca//1.18/H/A/"24/01/1990"/"12/06/1990"///(7º 0' 18.24'' W, 37º 23' 49.11'' N)(7º 0' 17.94'' W, 37º 23' 48.66'' N)(7º 0' 17.59'' W, 37º 23' 48.38'' N)(7º 0' 17.31'' W, 37º 23' 48.17'' N)(7º 0' 16.98'' W, 37º 23' 47.98'' N)(7º 0' 16.53'' W, 37º 23' 47.95'' N)(7º 0' 16.08'' W, 37º 23' 48.04'' N)(7º 0' 15.75'' W, 37º 23' 48.17'' N)(7º 0' 15.53'' W, 37º 23' 48.30'' N)(7º 0' 15.15'' W, 37º 23' 48.43'' N)(7º 0' 14.76'' W, 37º 23' 48.34'' N)(7º 0' 14.41'' W, 
EL REVENTÓN/MANUEL BOGADO OLIVARES/HUELVA/Autorizado/Recurso de la sección A)/00/   18/Arena, Grava//30.0/H/A/"21/06/1975"/"12/07/1975"///(6º 50' 14.38'' W, 37º 13' 37.59'' N)(6º 50' 15.01'' W, 37º 13' 36.95'' N)(6º 50' 15.45'' W, 37º 13' 36.24'' N)(6º 50' 15.75'' W, 37º 13' 35.48'' N)(6º 50' 16.19'' W, 37º 13' 34.03'' N)(6º 50' 16.52'' W, 37º 13' 33.39'' N)(6º 50' 16.85'' W, 37º 13' 32.94'' N)(6º 50' 18.86'' W, 37º 13' 33.94'' N)(6º 50' 19.54'' W, 37º 13' 34.32'' N)(6º 50' 20.91'' W, 37º 13' 35.15'' N)(6º 50' 21.08'' W, 37º 13' 35.25'' N)
GRAVERA RÍO MURTIGA/PABLO LAVADO ORTIZ/HUELVA/Autorizado/Recurso de la sección A)/00/   73/Arena, Grava//4.8/H/A/"05/03/1993"/"05/05/1994"///(6º 55' 37.87'' W, 38º 8' 3.82'' N)(6º 55' 35.36'' W, 38º 8' 5.40'' N)(6º 55' 31.73'' W, 38º 8' 5.46'' N)(6º 55' 26.80'' W, 38º 8' 6.24'' N)(6º 55' 21.71'' W, 38º 8' 6.09'' N)(6º 55' 20.08'' W, 38º 8' 3.27'' N)(6º 55' 21.22'' W, 38º 8' 1.71'' N)(6º 55' 25.00'' W, 38º 8' 1.76'' N)(6º 55' 28.55'' W, 38º 8' 2.96'' N)(6º 55' 32.57'' W, 38º 8' 2.44'' N)(6º 55' 34.18'' W, 38º 8' 0.66'' N)(6º 55' 36.50'' W, 38º 8' 1.05'' N)(6º 55' 
EL PALMERÓN/CANTOSUR, S.L./HUELVA/Autorizado/Recurso de la sección A)/00/   69/Arena//4.0/H/A/"19/11/1992"/"06/04/1994"///(6º 39' 58.79'' W, 37º 21' 57.85'' N)(6º 39' 58.15'' W, 37º 21' 58.00'' N)(6º 39' 56.37'' W, 37º 21' 59.06'' N)(6º 39' 57.88'' W, 37º 22' 0.11'' N)(6º 39' 58.71'' W, 37º 22' 3.00'' N)(6º 39' 58.50'' W, 37º 22' 5.22'' N)(6º 39' 57.26'' W, 37º 22' 7.36'' N)(6º 39' 56.55'' W, 37º 22' 7.68'' N)(6º 39' 56.44'' W, 37º 22' 7.97'' N)(6º 39' 56.66'' W, 37º 22' 9.10'' N)(6º 39' 59.16'' W, 37º 22' 9.74'' N)(6º 40' 1.68'' W, 
MANUEL/HORMIGONES GRANADO, S.L./HUELVA/Autorizado/Recurso de la sección A)/01/   66/Arena, Grava//24.37/H/A/"12/11/1992"/"21/06/2000"///(6º 49' 41.89'' W, 37º 13' 56.62'' N)(6º 49' 55.10'' W, 37º 13' 54.49'' N)(6º 49' 55.01'' W, 37º 13' 54.13'' N)(6º 49' 53.65'' W, 37º 13' 52.46'' N)(6º 49' 53.33'' W, 37º 13' 51.92'' N)(6º 49' 52.54'' W, 37º 13' 50.81'' N)(6º 49' 51.51'' W, 37º 13' 49.65'' N)(6º 49' 50.88'' W, 37º 13' 48.80'' N)(6º 49' 49.73'' W, 37º 13' 47.40'' N)(6º 49' 47.87'' W, 37º 13' 44.79'' N)(6º 49' 46.85'' W, 37º 13' 43.65'' N)
LOS CRISTOS/AGROMOLINILLO, S.C.A./HUELVA/Autorizado/Recurso de la sección A)/00/   70/Arena//157.32/H/A/"01/10/1986"/"06/04/1994"///(6º 52' 5.43'' W, 37º 14' 31.63'' N)(6º 52' 4.05'' W, 37º 14' 28.90'' N)(6º 52' 3.34'' W, 37º 14' 27.44'' N)(6º 52' 2.34'' W, 37º 14' 24.99'' N)(6º 52' 1.75'' W, 37º 14' 23.99'' N)(6º 52' 1.26'' W, 37º 14' 22.99'' N)(6º 52' 0.48'' W, 37º 14' 21.18'' N)(6º 51' 59.70'' W, 37º 14' 19.82'' N)(6º 51' 59.08'' W, 37º 14' 19.09'' N)(6º 51' 59.00'' W, 37º 14' 19.00'' N)(6º 51' 58.16'' W, 37º 14' 17.53'' N)(6º 51' 57.17'' W, 
MAR DE LUZ/LA BAJAMAR DE URBASUR, S.L./HUELVA/"Trámite/otorgamiento"/Permiso de Investigación/00/14868/Todos de sección C)//62.0/C/C/"21/02/2007"////(6º 52' 24.90'' W, 37º 14' 35.46'' N)(6º 52' 24.90'' W, 37º 12' 15.46'' N)(6º 51' 44.90'' W, 37º 12' 15.46'' N)(6º 51' 44.90'' W, 37º 12' 35.46'' N)(6º 49' 4.90'' W, 37º 12' 35.46'' N)(6º 49' 4.89'' W, 37º 14' 35.46'' N)(6º 52' 24.90'' W, 37º 14' 35.46'' N)
