INFORME RESULTADO BÚSQUEDA/"6/8/26 14:06"///////////////
CAMPOS BÚSQUEDA/Provincia: Sevilla///////////////
Nombre/Empresa/Organismo/Sit. General/Tipo/Frac/Nº Registro/Sustancia principal/Sustancia secundaria/Superf./Uds./Sec./Solicitud/"Otorgamiento/ Autorizacion"/Caducidad/Fin Vigencia/Coordenadas
DON JOSÉ FRACCIÓN II/ÁRIDOS MORÓN S.L.U. (ANTES DENOMINADA ÁRIDOS Y CAN/SEVILLA/"Trámite/autorización"/Permiso de Investigación/02/ 7726/Todos de sección C)//3.0/C/C/"29/11/2002"/"27/05/2003"///(5º 22' 24.78'' W, 37º 8' 15.45'' N)(5º 21' 44.78'' W, 37º 8' 15.45'' N)(5º 21' 44.78'' W, 37º 7' 55.45'' N)(5º 22' 4.78'' W, 37º 7' 55.45'' N)(5º 22' 4.78'' W, 37º 7' 35.45'' N)(5º 22' 24.78'' W, 37º 7' 35.45'' N)(5º 22' 24.78'' W, 37º 8' 15.45'' N)
LOS REVANALES/REFRACTARIOS ANDALUCÍA, S.L., TRABAJOS DE MINERÍA A CIELO ABIERTO, S.A./SEVILLA/Otorgado/Permiso de Investigación/01/ 7730/Arcilla refractaria//2.0/C/C/"09/12/1998"/"18/11/2003"///(5º 45' 44.81'' W, 38º 8' 35.52'' N)(5º 46' 24.81'' W, 38º 8' 35.52'' N)(5º 46' 24.81'' W, 38º 8' 55.52'' N)(5º 45' 44.81'' W, 38º 8' 55.52'' N)(5º 45' 44.81'' W, 38º 8' 35.52'' N)
LOS REVANALES/REFRACTARIOS ANDALUCÍA, S.L., TRABAJOS DE MINERÍA A CIELO ABIERTO, S.A./SEVILLA/Otorgado/Permiso de Investigación/02/ 7730/Arcilla refractaria//2.0/C/C/"09/12/1998"/"24/11/2003"///(5º 45' 44.81'' W, 38º 8' 35.52'' N)(5º 45' 4.80'' W, 38º 8' 35.52'' N)(5º 45' 4.80'' W, 38º 8' 15.52'' N)(5º 45' 44.81'' W, 38º 8' 15.52'' N)(5º 45' 44.81'' W, 38º 8' 35.52'' N)
PILAR/BPB IBERPLACO, S.A./SEVILLA/Caducado/Permiso de Investigación/00/ 7733/Yeso//42.0/C/C//"19/11/2002"/"04/08/2004"//(4º 59' 4.75'' W, 37º 12' 35.46'' N)(5º 1' 24.75'' W, 37º 12' 35.46'' N)(5º 1' 24.75'' W, 37º 14' 35.46'' N)(4º 59' 4.75'' W, 37º 14' 35.46'' N)(4º 59' 4.75'' W, 37º 12' 35.46'' N)
LOLA/BPB IBERPLACO, S.A./SEVILLA/Caducado/Permiso de Investigación/00/ 7734/Otros productos de cantera//48.0/C/C/"15/04/1999"/"30/01/2003"/"21/06/2004"//(4º 59' 24.75'' W, 37º 19' 55.46'' N)(5º 2' 4.76'' W, 37º 19' 55.46'' N)(5º 2' 4.76'' W, 37º 17' 55.46'' N)(4º 59' 24.75'' W, 37º 17' 55.46'' N)(4º 59' 24.75'' W, 37º 19' 55.46'' N)
EVA I/CEMENTOS PORTLAND VALDERRIVAS, S.A./SEVILLA/Caducado/Permiso de Investigación/00/ 7738/Arena, Calcarenita, Margas, Otros productos de cantera, Yeso//143.0/C/C/"16/07/1999"/"22/09/2003"/"22/10/2009"//(5º 43' 24.81'' W, 37º 4' 15.46'' N)(5º 43' 24.81'' W, 37º 7' 55.45'' N)(5º 39' 4.80'' W, 37º 7' 55.46'' N)(5º 39' 4.80'' W, 37º 4' 15.45'' N)(5º 43' 24.81'' W, 37º 4' 15.46'' N)
ALMADÉN FRACCIÓN 2/BPB IBERPLACO, S.A., YESOS, ESCAYOLAS Y PREFABRICADOS, S.A.  (YEPSA)/SEVILLA/"Trámite/autorización"/Permiso de Investigación/02/ 7737/Yeso//12.0/C/C/"30/04/1999"/"22/04/2003"///(5º 58' 4.82'' W, 37º 50' 35.49'' N)(5º 58' 4.82'' W, 37º 51' 15.49'' N)(5º 56' 4.82'' W, 37º 51' 15.49'' N)(5º 56' 4.82'' W, 37º 50' 35.49'' N)(5º 58' 4.82'' W, 37º 50' 35.49'' N)
LA UNIÓN/NUEVA MONTAÑA Y QUIJANO S.A./SEVILLA/Otorgado/Concesión de Explotación  Derivada/00/ 6332/Hierro//16.0/H/C/"13/11/1958"/"06/03/1959"//"05/04/2068"/(5º 36' 45.81'' W, 37º 58' 21.07'' N)(5º 36' 26.93'' W, 37º 58' 33.53'' N)(5º 36' 24.31'' W, 37º 58' 31.06'' N)(5º 36' 43.18'' W, 37º 58' 18.57'' N)(5º 36' 32.67'' W, 37º 58' 8.62'' N)(5º 36' 38.97'' W, 37º 58' 4.46'' N)(5º 36' 52.11'' W, 37º 58' 16.91'' N)(5º 36' 45.81'' W, 37º 58' 21.07'' N)
DEMASÍA A SAN VALERIANO/"MINERALES REUNIDOS S.A. ""MIRESA"", SOCIEDAD ESPAÑOLA MINAS DEL CASTILLO DE LAS GUARDA, HIJOS DE AGAPITO ARTALOITIA"/SEVILLA/Otorgado/Concesión Directa de Explotación/00/  601/Cobre//9.0/H/C/"04/01/1884"/"31/07/1885"///(6º 21' 51.63'' W, 37º 41' 39.54'' N)(6º 21' 49.79'' W, 37º 41' 38.89'' N)(6º 21' 53.09'' W, 37º 41' 32.96'' N)(6º 21' 56.83'' W, 37º 41' 34.27'' N)(6º 21' 59.21'' W, 37º 41' 29.98'' N)(6º 21' 57.26'' W, 37º 41' 29.32'' N)(6º 21' 55.60'' W, 37º 41' 32.27'' N)(6º 21' 51.87'' W, 37º 41' 30.95'' N)(6º 21' 48.57'' W, 37º 41' 36.88'' N)(6º 21' 44.83'' W, 37º 41' 35.60'' N)(6º 21' 46.48'' W, 37º 41' 32.62'' N)
CARMINA/KALI -CHEMIE IBERIA, S.A., MINAS DE BARITINA S.A., ANTONIO ROMERO VILLEGAS/SEVILLA/Otorgado/Concesión de Explotación  Derivada/00/ 6922/Barita//21.0/H/C/"14/10/1975"/"02/12/1976"///(5º 39' 44.09'' W, 37º 53' 27.30'' N)(5º 39' 30.62'' W, 37º 53' 31.18'' N)(5º 39' 34.82'' W, 37º 53' 40.33'' N)(5º 40' 1.76'' W, 37º 53' 32.58'' N)(5º 39' 57.56'' W, 37º 53' 23.43'' N)(5º 39' 44.09'' W, 37º 53' 27.30'' N)
